Welcome to kof Version Alpha 1
CGame:Init SDL system
Common_ParseSection keyName SelectInfo.p1.cursor.startcell 
Common_ParseSection keyName SelectInfo.p1.cursor.active.anim 
Common_ParseSection keyName SelectInfo.p1.cursor.done.spr 
Common_ParseSection keyName SelectInfo.p1.cursor.move.snd 
Common_ParseSection keyName SelectInfo.p1.cursor.done.snd 
Common_ParseSection keyName SelectInfo.p1.random.move.snd 
Common_ParseSection keyName SelectInfo.p2.cursor.startcell 
Common_ParseSection keyName SelectInfo.p2.cursor.active.anim 
Common_ParseSection keyName SelectInfo.p2.cursor.done.spr 
Common_ParseSection keyName SelectInfo.p2.cursor.blink 
Common_ParseSection keyName SelectInfo.p2.cursor.move.snd 
Common_ParseSection keyName SelectInfo.p2.cursor.done.snd 
Common_ParseSection keyName SelectInfo.p2.random.move.snd 
Common_ParseSection keyName SelectInfo.random.move.snd.cancel 
Common_ParseSection keyName SelectInfo.stage.move.snd 
Common_ParseSection keyName SelectInfo.stage.done.snd 
Common_ParseSection keyName SelectInfo.cancel.snd 
Common_ParseSection keyName SelectInfo.portrait.offset 
Common_ParseSection keyName SelectInfo.portrait.scale 
Common_ParseSection keyName SelectInfo.title.offset 
Common_ParseSection keyName SelectInfo.title.font 
Common_ParseSection keyName SelectInfo.p1.face.offset 
Common_ParseSection keyName SelectInfo.p1.face.scale 
Common_ParseSection keyName SelectInfo.p1.face.facing 
Common_ParseSection keyName SelectInfo.p2.face.offset 
Common_ParseSection keyName SelectInfo.p2.face.scale 
Common_ParseSection keyName SelectInfo.p2.face.facing 
Common_ParseSection keyName SelectInfo.p1.name.offset 
Common_ParseSection keyName SelectInfo.p1.name.font 
Parser error:in file data/system.def at line 171:token:, error:arg is too much!
Common_ParseSection keyName SelectInfo.p2.name.offset 
Common_ParseSection keyName SelectInfo.p2.name.font 
Parser error:in file data/system.def at line 173:token:, error:arg is too much!
Common_ParseSection keyName SelectInfo.stage.pos 
Common_ParseSection keyName SelectInfo.stage.active.font 
Parser error:in file data/system.def at line 176:token:, error:arg is too much!
Common_ParseSection keyName SelectInfo.stage.active2.font 
Parser error:in file data/system.def at line 177:token:, error:arg is too much!
Common_ParseSection keyName SelectInfo.stage.done.font 
Common_ParseSection keyName SelectInfo.teammenu.move.wrapping 
Common_ParseSection keyName SelectInfo.p1.teammenu.pos 
Common_ParseSection keyName SelectInfo.p1.teammenu.selftitle.font 
Parser error:in file data/system.def at line 183:token:, error:arg is too much!
Common_ParseSection keyName SelectInfo.p1.teammenu.selftitle.text 
Parser error:in file data/system.def at line 184:token:MODE error:arg error,need ,
Common_ParseSection keyName SelectInfo.p1.teammenu.enemytitle.font 
Parser error:in file data/system.def at line 185:token:, error:arg is too much!
Common_ParseSection keyName SelectInfo.p1.teammenu.enemytitle.text 
Parser error:in file data/system.def at line 186:token:MODE error:arg error,need ,
Common_ParseSection keyName SelectInfo.p1.teammenu.move.snd 
Common_ParseSection keyName SelectInfo.p1.teammenu.value.snd 
Common_ParseSection keyName SelectInfo.p1.teammenu.done.snd 
Common_ParseSection keyName SelectInfo.p1.teammenu.item.offset 
Common_ParseSection keyName SelectInfo.p1.teammenu.item.spacing 
Common_ParseSection keyName SelectInfo.p1.teammenu.item.font 
Parser error:in file data/system.def at line 192:token:, error:arg is too much!
Common_ParseSection keyName SelectInfo.p1.teammenu.item.active.font 
Parser error:in file data/system.def at line 193:token:, error:arg is too much!
Common_ParseSection keyName SelectInfo.p1.teammenu.item.active2.font 
Parser error:in file data/system.def at line 194:token:, error:arg is too much!
Common_ParseSection keyName SelectInfo.p1.teammenu.item.cursor.offset 
Common_ParseSection keyName SelectInfo.p1.teammenu.item.cursor.spr 
Common_ParseSection keyName SelectInfo.p1.teammenu.value.icon.offset 
Common_ParseSection keyName SelectInfo.p1.teammenu.value.icon.spr 
Common_ParseSection keyName SelectInfo.p1.teammenu.value.empty.icon.offset 
Common_ParseSection keyName SelectInfo.p1.teammenu.value.empty.icon.spr 
Common_ParseSection keyName SelectInfo.p1.teammenu.value.spacing 
Common_ParseSection keyName SelectInfo.p2.teammenu.pos 
Common_ParseSection keyName SelectInfo.p2.teammenu.selftitle.font 
Parser error:in file data/system.def at line 205:token:, error:arg is too much!
Common_ParseSection keyName SelectInfo.p2.teammenu.selftitle.text 
Parser error:in file data/system.def at line 206:token:MODE error:arg error,need ,
Common_ParseSection keyName SelectInfo.p2.teammenu.enemytitle.font 
Parser error:in file data/system.def at line 207:token:, error:arg is too much!
Common_ParseSection keyName SelectInfo.p2.teammenu.enemytitle.text 
Parser error:in file data/system.def at line 208:token:MODE error:arg error,need ,
Common_ParseSection keyName SelectInfo.p2.teammenu.move.snd 
Common_ParseSection keyName SelectInfo.p2.teammenu.value.snd 
Common_ParseSection keyName SelectInfo.p2.teammenu.done.snd 
Common_ParseSection keyName SelectInfo.p2.teammenu.item.offset 
Common_ParseSection keyName SelectInfo.p2.teammenu.item.spacing 
Common_ParseSection keyName SelectInfo.p2.teammenu.item.font 
Parser error:in file data/system.def at line 214:token:, error:arg is too much!
Common_ParseSection keyName SelectInfo.p2.teammenu.item.active.font 
Parser error:in file data/system.def at line 215:token:, error:arg is too much!
Common_ParseSection keyName SelectInfo.p2.teammenu.item.active2.font 
Parser error:in file data/system.def at line 216:token:, error:arg is too much!
Common_ParseSection keyName SelectInfo.p2.teammenu.item.cursor.offset 
Common_ParseSection keyName SelectInfo.p2.teammenu.item.cursor.spr 
Common_ParseSection keyName SelectInfo.p2.teammenu.value.icon.offset 
Common_ParseSection keyName SelectInfo.p2.teammenu.value.icon.spr 
Common_ParseSection keyName SelectInfo.p2.teammenu.value.empty.icon.offset 
Common_ParseSection keyName SelectInfo.p2.teammenu.value.empty.icon.spr 
Common_ParseSection keyName SelectInfo.p2.teammenu.value.spacing 
Common_ParseSection keyName SelectInfo.p1.cursor.active.spr 
Common_ParseSection keyName SelectInfo.p2.cursor.active.spr 
Common_ParseSection keyName SelectInfo.p1.teammenu.bg.spr 
Common_ParseSection keyName SelectInfo.p1.teammenu.item.cursor.anim 
Common_ParseSection keyName SelectInfo.p2.teammenu.bg.spr 
Common_ParseSection keyName SelectInfo.p2.teammenu.item.cursor.anim 
Common_ParseSection keyName VSScreen.time 
Common_ParseSection keyName VSScreen.fadein.time 
Common_ParseSection keyName VSScreen.fadeout.time 
Common_ParseSection keyName VSScreen.p1.pos 
Common_ParseSection keyName VSScreen.p1.facing 
Common_ParseSection keyName VSScreen.p1.scale 
Common_ParseSection keyName VSScreen.p2.pos 
Common_ParseSection keyName VSScreen.p2.facing 
Common_ParseSection keyName VSScreen.p2.scale 
Common_ParseSection keyName VSScreen.p1.name.pos 
Common_ParseSection keyName VSScreen.p1.name.font 
Parser error:in file data/system.def at line 270:token:, error:arg is too much!
Common_ParseSection keyName VSScreen.p2.name.pos 
Common_ParseSection keyName VSScreen.p2.name.font 
Parser error:in file data/system.def at line 272:token:, error:arg is too much!
Common_ParseSection keyName DemoMode.enabled 
Common_ParseSection keyName DemoMode.select.enabled 
Common_ParseSection keyName DemoMode.vsscreen.enabled 
Common_ParseSection keyName DemoMode.title.waittime 
Common_ParseSection keyName DemoMode.fight.endtime 
Common_ParseSection keyName DemoMode.fight.playbgm 
Common_ParseSection keyName DemoMode.fight.bars.display 
Common_ParseSection keyName DemoMode.intro.waitcycles 
Common_ParseSection keyName DemoMode.debuginfo 
Common_ParseSection keyName ContinueScreen.enabled 
Common_ParseSection keyName GameOverScreen.enabled 
Common_ParseSection keyName GameOverScreen.storyboard 
Common_ParseSection keyName WinScreen.enabled 
Common_ParseSection keyName WinScreen.wintext.text 
Parser error:in file data/system.def at line 471:token:! error:arg error,need ,
Common_ParseSection keyName WinScreen.wintext.offset 
Common_ParseSection keyName WinScreen.wintext.displaytime 
Common_ParseSection keyName WinScreen.wintext.layerno 
Common_ParseSection keyName WinScreen.fadein.time 
Common_ParseSection keyName WinScreen.pose.time 
Common_ParseSection keyName WinScreen.fadeout.time 
Common_ParseSection keyName DefaultEnding.enabled 
Common_ParseSection keyName DefaultEnding.storyboard 
Common_ParseSection keyName EndCredits.enabled 
Common_ParseSection keyName EndCredits.storyboard 
Common_ParseSection keyName SurvivalResultsScreen.enabled 
Common_ParseSection keyName SurvivalResultsScreen.winstext.text 
Parser error:in file data/system.def at line 501:token:survived error:arg error,need ,
Common_ParseSection keyName SurvivalResultsScreen.winstext.font 
Parser error:in file data/system.def at line 502:token:, error:arg is too much!
Common_ParseSection keyName SurvivalResultsScreen.winstext.offset 
Common_ParseSection keyName SurvivalResultsScreen.winstext.displaytime 
Common_ParseSection keyName SurvivalResultsScreen.winstext.layerno 
Common_ParseSection keyName SurvivalResultsScreen.fadein.time 
Common_ParseSection keyName SurvivalResultsScreen.show.time 
Common_ParseSection keyName SurvivalResultsScreen.fadeout.time 
Common_ParseSection keyName SurvivalResultsScreen.roundstowin 
Common_ParseSection keyName SurvivalResultsScreen.wintext.text 
Parser error:in file data/system.def at line 510:token:survived error:arg error,need ,
Common_ParseSection keyName SurvivalResultsScreen.wintext.font 
Parser error:in file data/system.def at line 511:token:, error:arg is too much!
Common_ParseSection keyName SurvivalResultsScreen.wintext.offset 
Common_ParseSection keyName SurvivalResultsScreen.wintext.displaytime 
Common_ParseSection keyName SurvivalResultsScreen.wintext.layerno 
Common_ParseSection keyName OptionInfo.cursor.move.snd 
Common_ParseSection keyName OptionInfo.cursor.done.snd 
Common_ParseSection keyName OptionInfo.cancel.snd 
CSffManager::Loading data/system.sff
CSffManager::Sff file include 102 images
CSffManager:: 102 image are decoded
ParseFile::Loading data/system.snd
CSndConfig::snd file include 5 snd
CSndConfig:: 5 sound are decoded
  CFightConfig::ParseCfg data/fight.def 
Common_ParseSection keyName Files.sff 
Common_ParseSection keyName Files.snd 
Common_ParseSection keyName Files.font1 
Parser error:in file data/fight.def at line 26:token:/ error:arg error,need ,
Common_ParseSection keyName Files.font2 
Parser error:in file data/fight.def at line 27:token:/ error:arg error,need ,
Common_ParseSection keyName Files.font3 
Parser error:in file data/fight.def at line 28:token:/ error:arg error,need ,
Common_ParseSection keyName Files.fightfx.sff 
Common_ParseSection keyName Files.fightfx.air 
Common_ParseSection keyName Files.common.snd 
Common_ParseSection keyName Lifebar.p1.pos 
Common_ParseSection keyName Lifebar.p1.bg0.anim 
Common_ParseSection keyName Lifebar.p1.bg1.spr 
Common_ParseSection keyName Lifebar.p1.mid.spr 
Common_ParseSection keyName Lifebar.p1.front.spr 
Common_ParseSection keyName Lifebar.p1.range.x 
Common_ParseSection keyName Lifebar.p2.pos 
Common_ParseSection keyName Lifebar.p2.bg0.anim 
Common_ParseSection keyName Lifebar.p2.bg0.facing 
Common_ParseSection keyName Lifebar.p2.bg1.spr 
Common_ParseSection keyName Lifebar.p2.bg1.facing 
Common_ParseSection keyName Lifebar.p2.mid.spr 
Common_ParseSection keyName Lifebar.p2.mid.facing 
Common_ParseSection keyName Lifebar.p2.front.spr 
Common_ParseSection keyName Lifebar.p2.front.facing 
Common_ParseSection keyName Lifebar.p2.range.x 
Common_ParseSection keyName SimulLifebar.p1.pos 
Common_ParseSection keyName SimulLifebar.p1.bg0.anim 
Common_ParseSection keyName SimulLifebar.p1.bg1.spr 
Common_ParseSection keyName SimulLifebar.p1.mid.offset 
Common_ParseSection keyName SimulLifebar.p1.mid.spr 
Common_ParseSection keyName SimulLifebar.p1.front.offset 
Common_ParseSection keyName SimulLifebar.p1.front.spr 
Common_ParseSection keyName SimulLifebar.p1.range.x 
Common_ParseSection keyName SimulLifebar.p2.pos 
Common_ParseSection keyName SimulLifebar.p2.bg0.anim 
Common_ParseSection keyName SimulLifebar.p2.bg0.facing 
Common_ParseSection keyName SimulLifebar.p2.bg1.spr 
Common_ParseSection keyName SimulLifebar.p2.bg1.facing 
Common_ParseSection keyName SimulLifebar.p2.mid.offset 
Common_ParseSection keyName SimulLifebar.p2.mid.spr 
Common_ParseSection keyName SimulLifebar.p2.mid.facing 
Common_ParseSection keyName SimulLifebar.p2.front.offset 
Common_ParseSection keyName SimulLifebar.p2.front.spr 
Common_ParseSection keyName SimulLifebar.p2.front.facing 
Common_ParseSection keyName SimulLifebar.p2.range.x 
Common_ParseSection keyName SimulLifebar.p3.pos 
Common_ParseSection keyName SimulLifebar.p3.mid.spr 
Common_ParseSection keyName SimulLifebar.p3.front.spr 
Common_ParseSection keyName SimulLifebar.p3.range.x 
Common_ParseSection keyName SimulLifebar.p4.pos 
Common_ParseSection keyName SimulLifebar.p4.mid.spr 
Common_ParseSection keyName SimulLifebar.p4.mid.facing 
Common_ParseSection keyName SimulLifebar.p4.front.spr 
Common_ParseSection keyName SimulLifebar.p4.front.facing 
Common_ParseSection keyName SimulLifebar.p4.range.x 
Common_ParseSection keyName TurnsLifebar.p1.pos 
Common_ParseSection keyName TurnsLifebar.p1.bg0.anim 
Common_ParseSection keyName TurnsLifebar.p1.bg1.spr 
Common_ParseSection keyName TurnsLifebar.p1.mid.spr 
Common_ParseSection keyName TurnsLifebar.p1.front.spr 
Common_ParseSection keyName TurnsLifebar.p1.range.x 
Common_ParseSection keyName TurnsLifebar.p2.pos 
Common_ParseSection keyName TurnsLifebar.p2.bg0.anim 
Common_ParseSection keyName TurnsLifebar.p2.bg0.facing 
Common_ParseSection keyName TurnsLifebar.p2.bg1.spr 
Common_ParseSection keyName TurnsLifebar.p2.bg1.facing 
Common_ParseSection keyName TurnsLifebar.p2.mid.spr 
Common_ParseSection keyName TurnsLifebar.p2.mid.facing 
Common_ParseSection keyName TurnsLifebar.p2.front.spr 
Common_ParseSection keyName TurnsLifebar.p2.front.facing 
Common_ParseSection keyName TurnsLifebar.p2.range.x 
Common_ParseSection keyName Powerbar.p1.pos 
Common_ParseSection keyName Powerbar.p1.bg0.anim 
Common_ParseSection keyName Powerbar.p1.bg1.spr 
Common_ParseSection keyName Powerbar.p1.front.spr 
Common_ParseSection keyName Powerbar.p1.range.x 
Common_ParseSection keyName Powerbar.p1.counter.offset 
Common_ParseSection keyName Powerbar.p1.counter.font 
Parser error:in file data/fight.def at line 126:token:, error:arg is too much!
Common_ParseSection keyName Powerbar.p2.pos 
Common_ParseSection keyName Powerbar.p2.bg0.anim 
Common_ParseSection keyName Powerbar.p2.bg0.facing 
Common_ParseSection keyName Powerbar.p2.bg1.spr 
Common_ParseSection keyName Powerbar.p2.bg1.facing 
Common_ParseSection keyName Powerbar.p2.front.spr 
Common_ParseSection keyName Powerbar.p2.front.facing 
Common_ParseSection keyName Powerbar.p2.range.x 
Common_ParseSection keyName Powerbar.p2.counter.offset 
Common_ParseSection keyName Powerbar.p2.counter.font 
Parser error:in file data/fight.def at line 140:token:, error:arg is too much!
Common_ParseSection keyName Powerbar.level1.snd 
Common_ParseSection keyName Powerbar.level2.snd 
Common_ParseSection keyName Powerbar.level3.snd 
Common_ParseSection keyName Face.p1.pos 
Common_ParseSection keyName Face.p1.bg.spr 
Common_ParseSection keyName Face.p1.face.spr 
Common_ParseSection keyName Face.p1.face.facing 
Common_ParseSection keyName Face.p1.face.offset 
Common_ParseSection keyName Face.p2.pos 
Common_ParseSection keyName Face.p2.bg.spr 
Common_ParseSection keyName Face.p2.bg.facing 
Common_ParseSection keyName Face.p2.face.spr 
Common_ParseSection keyName Face.p2.face.facing 
Common_ParseSection keyName Face.p2.face.offset 
Common_ParseSection keyName SimulFace.p1.pos 
Common_ParseSection keyName SimulFace.p1.bg.spr 
Common_ParseSection keyName SimulFace.p1.face.spr 
Common_ParseSection keyName SimulFace.p1.face.scale 
Common_ParseSection keyName SimulFace.p1.face.facing 
Common_ParseSection keyName SimulFace.p1.face.offset 
Common_ParseSection keyName SimulFace.p2.pos 
Common_ParseSection keyName SimulFace.p2.bg.spr 
Common_ParseSection keyName SimulFace.p2.bg.facing 
Common_ParseSection keyName SimulFace.p2.face.spr 
Common_ParseSection keyName SimulFace.p2.face.scale 
Common_ParseSection keyName SimulFace.p2.face.facing 
Common_ParseSection keyName SimulFace.p2.face.offset 
Common_ParseSection keyName SimulFace.p3.pos 
Common_ParseSection keyName SimulFace.p3.face.spr 
